text,label
"I would like to submit the following goof.<br /><br />During the bridge scene, soldiers are seen wading out in the river, asking to be taken away and seeking to escape. Some of the soldiers approach Captain Willard's boat and attempt to board carrying with them suitcases. Soldiers are not issued nor do they ever carry suitcases into a combat zone. They have duffel bags, packs and footlockers but not suitcases. The use of a suitcase in this scene is absurd and out of keeping. Additionally, if you look closely, you will see that the suitcase is floating on top of the water. This is probably a very good indication that it is empty,otherwise it would sink.",biased
"Three young movie theater employees are given the task of re-opening a long closed old-time theater at which many years before a shocking series of grisly murders took place. It seems many more murders have occurred since then but all of this remains unknown to these three young upstart employees hoping to finally make it big on their own. As they approach the grand re-opening night, things keep getting stranger and more unsettling with items suddenly starting to move around by themselves without any seen aid and a terrifying old man seemingly haunting the premises.<br /><br />Oh, this is truly horrible. In fact, if it wasn't for Mary Woronov's secretary character being such a fiercely independent outspoken empowered young woman who steals practically every scene in which she appears and the incredibly hot chick who played the unbelievably sleazy yet totally sexy Selina, this would be a total loss. The only other good thing I have to say about this film is some of the movie theater murders are done in truly inventive, albeit not overly gory (a preference for me but not necessarily for others), fashion. The rest just wallows in constant sleaze (so extreme the rare few may actually find humor in it) and runs through the predictable slasher kills annoying characters off one after the other routine.",biased
"I was so excited to finally watch ""Pulse"" after receiving it from Amazon, and I have to say I was utterly disappointed. I perhaps think I was too hyped up. I had expectations set by its fans that simply couldn't be met. After loving other Asian horrors, I thought I knew this would find a place in my heart.<br /><br />The story was slow, painfully so. I am a diverse fan of horror. I love the brutal, bloody craziness of ""The Devil's Rejects"" and I love equally the steady, growing macabre of ""A Tale of Two Sisters"". ""Pulse"" offered little from either spectrum, sadly.<br /><br />Along with the sluggishness of the plot, it was also very muddled. I hadn't a clue why characters were doing what they were doing and how what they were doing would help their problem. It seemed as if the director spouted off the plot in a sentence or two and the rest was improf from our actors. Unlike ""A Tale of Two Sisters"", which also has a rather hard-to-follow plot line, ""Pulse"" clears up very little at the end and left me feeling frustrated, confused and uninterested in the characters' endeavors. My closing statement about the plot was its inconsistency. At first it seemed as if the story was about the ghost world overflowing and their medium of escaping is the Internet. That's a damn original idea. I like that. But as the plot drones on, plot-holes and unexplained happenings rearing their heads in, it seems the director switched to some apocalyptic tale (as evident by the ending) that just hasn't been clear enough throughout to execute.<br /><br />I realize the dreariness of the shots and the setting was intentional to make the viewer feel bleak and isolated, but the dullness of the movie was only intensified by the grainy, shadowy surroundings. I will admit there was a certain feel of surrealism with the movie, but that may have just been my attention waning in and out.<br /><br />The actions of some of the characters are a little bit ridiculous as well, and perhaps if I was more enthralled by the story I would've been able to suspend more disbelief but as well myself being unmotivated so too were some of the characters. Like I mentioned previously, the logic behind what certain characters did were absent and contributed to the incoherence of the plot. Perhaps it was a result of the plot's incoherence that the characters do questionable things. To be honest I don't really care.<br /><br />The acting was decent. Certainly nothing outstanding but nothing terrible either. No outliers to mention on either side of brilliant or plain awful.<br /><br />Now I'll stop sounding so sour and mention that there were a handful of creepy moments. One towards the end especially that if there were more like it throughout, I would've enjoyed this movie (almost) wholly. I thought whenever the website was shown it was pretty unsettling, as well as some of the ghostly encounters our two main characters face. The things that went on between these ghastly run-ins were just too lackluster, baffling and ""WTF"" for me to truly appreciate.<br /><br />Now for something pertaining to the DVD itself... Magnolia's release of ""Pulse"" comes with subtitles, yes, but the subtitles are off. They aren't said at the correct time of the character's speech. It may sound nit-picking but it bothered me a little and it may bother some others. I think this is the only North American release of the film though so you either have to deal or watch dubbing (NEVER WATCH DUBBING!!!) I tried to like the film, I really did. I WANTED this film to live up to the hype... but sadly, it fell flat for me. If you're looking for other creepy Asian cinema I can recommend you ""Audition"", ""Shutter"", ""A Tale of Two Sisters"", ""Strange Circus"" and ""Marebito"" -- all of which are more my palette.",neutral
"I watch this movie at the start of every summer, and it never ceases to amuse me. Here the jokes are packed in near every line of dialogue, giving you more bang than the average Simpsons episode. Some of the jokes fall flat or will only elicit a slight chuckle, but others will leave you rolling and then there are those that stick in your brain... ""The audience is now deaf.""<br /><br />The video knows it's a video, and makes no pretensions about being anything else. It's easy to sit back and let the bombardment of humor begin. A good mix of slapstick, pop culture, and tongue-in-cheek comedy ensures there's something for everybody. I was in sixth grade when I first saw this video, and I have to admit I still find it as hilarious now that I've started college.<br /><br />This is a good movie to watch over the summer, much in the way you might watch ""It's a Wonderful Life"" at Christmas or ""Ten Commandments"" at Easter/Passover. More than that, it's just funny as hell.",biased
"The main problem of the first ""Vampires"" movie is that none of the characters were sympathetic. Carpenter learned from his mistake and this time used a likable vampire hunter and a charismatic vampire. The female vampire Una certainly is the coolest vampire since Blade's Deacon Frost. Unfortunately while there are some good concepts like a cool slow motion restaurant scene (why didn't Carpenter use more of this??) this movie is nowhere near as good as it could have been. I expected to see strong vampires in action and at least one longer lasting nicely choreographed fight sequence (for example inside a city) and was left somewhat disappointed. While ""Los Muertos"" proceeds at a faster pace than its predecessor, it still drags a little in some parts (though nowhere near as bad as ""Vampires"" did). Much like ""Vampires"" however this movie's climax near the end is not very intense.<br /><br />Most of the above may sound like ""Los Muertos"" is a bad movie but it definitely isn't. It is generally enjoyable and ranks among the better entries to the genre. It is neither an unoriginal Dracula remake (like almost every other vampire movie out there) nor is it an unintelligent action spectacle like Blade II. It simply could have used a bit more excitement.<br /><br />I'd really like to see a third installment made by Carpenter but it's probably not going to happen.<br /><br />SPOILER WARNING The ending was way too predictable. Una should have gotten away- that would have made the movie quite unusual.",biased
"This made for TV film is about every cliché you can come up with for a disaster movie. The only problem is it isn't very well done.<br /><br />My brain is still insulted from the scenes in which Brian Dennehy is supposedly looking at a computer monitor looking for weather pattern data and showing on that monitor are stock footage scenes of weather turmoil ala The Weather Channels commercials. Why would watching local news footage of a washed out side-street give insight to global weather patterns? You got me.<br /><br />Also interspersed through out the first two hours are some of the worst CGI effects known to man. Watch for the semi truck and the airplane that look like they were rendered on a Commodore 64.<br /><br />All the foreshadowing in this ""movie"" is done with the subtlety of a sledgehammer, the dialog is forced and I can't think of a likable character that I want to survive the second half.<br /><br />The character I hate the most is the stupid wife who's husband is cheating. Maybe if she lifted a finger at anytime during the show instead of being a helpless woman who stands in the the same 10 square feet of the kitchen all day her husband wouldn't be sleeping with the PR rep for a rival energy company. She is so helpless, in fact, I want to put her out of her and my misery. I hope everyone in this ""movie"" dies in the second half.",biased
"Okay -- the title ""House of Frankenstein"", was a reference to a line from the original Frankenstein movie. When they follow it up with a movie entitled ""House of Dracula"", which makes no real sense, you know that it's just beginning to turn into a franchise.<br /><br />Without explanation, Dracula is back, and he's calling himself Baron Latos. He infiltrates the home of a Doctor Edelmann, with the claim that he is seeking a cure for his vampirism. Edelmann has a hunchback nurse who assists him (what is it with hunchback assistants in these movies?), but what Dracula is really interested in is his other, more beautiful assistant. At this point, Larry ""Wolf Man"" Talbot returns (again, no explanation given) and just happens to be seeking the same doctor for a cure to his lycanthropy. And then he just happens to fall into a cave in which plants can be grown to help him, which also just so happens to contain the Frankenstein monster. Dear God, when will it end ... sure, the other Universal monster sequels were silly, but this is just ridiculous.<br /><br />First the good stuff. There are some great settings, and the vampire bat effects are slightly better than usual. Some of the other effects are pretty neat too. John Carradine isn't bad as Dracula once you get used to him, but still nothing like as brilliant as Lugosi was. In my opinion, Onslow Stevens plays a much better vampire in this movie, although he has exactly the opposite problem to Carradine -- all of the creepiness and none of the class. None of the performances are that great, but it's more due to the atrocious script than anything else -- the female parts are particularly badly written. But stupid as it is, it remains reasonably entertaining for the most part. The best thing about it is it's short length.<br /><br />Now the bad stuff ... it's not creepy, it's poorly written and it doesn't work. I was hoping the three monsters would begin some kind of a supernatural struggle for power, but it doesn't happen. The focus is almost entirely on Dracula, who isn't particularly well portrayed. On the other hand, this is the only movie in which Dracula infects another man, but it is done via a blood transfusion rather than a bite as Universal were always uncomfortable with the possible homosexual subtext. Larry Talbot is decent as always as the Wolf Man, but he plays a comparatively small part. Once again the part of Frankenstein's monster is reduced to the anti-climatic closing moments. For God's sake, Glenn Strange was fantastic as the creature! Why not give him more screen time? It's unfortunate that the series had to end on this note (not counting the classic comedy ""Abbott & Costello Meet Frankenstein""). In the end it just fizzled in the sunlight and died, much like Dracula himself.",biased
"For those too young to remember, or too old to have been part of the ""hype"", the Michael Jackson fad in the early-to-mid 80's was at a fever pitch- like the hype about Titanic, except this just didn't let up. Every song, every video, every word uttered by Michael was important. Nothing similar had been seen since the heyday of the Beatles.<br /><br />I remember seeing this video for the first time, at a roller skating rink. Everyone stopped skating. There was no question as to whether you were a Michael Jackson fan or not; you were. Everyone crowded around the projection screen, and watched the video...<br /><br />This is probably one of the longest music videos ever made, and definitely the best. It perpetually gets #2 on the annual MTV top 100 videos (#1 is always the flavor-of-the-month, and somehow whatever was #1 of all time slips past #2, to make way for the new #1. Go figure.), and Thriller became a phenomenon in and of itself.<br /><br />If you ever get the chance, you must watch the video; not just the excerpts shown on MTV or VH1. If necessary, you should search out Making of Thriller at a video rental store. Hey... your parents probably made you watch Beatles and Woodstock footage because ""it was important""... well, this is important too.",biased
"Made one year before ILSA, SHE-WOLF OF THE SS, BLACKSNAKE could have easily been called SUSAN, SHE-WOLF OF THE PLANTATION and it probably inspired the producers behind the Nazi sexploitation epics to go ahead with their more infamous films because the stories are identical: a gorgeous, horny, head strong (but stupid) blonde woman degrades and kills many people under her control, whom all hate her and want her dead. Sounds familiar? Director Russ Meyer and David Friedman, the producer behind the ILSA flicks, are good friends and they started their careers together. So, obviously, there's a connection there. Looking at BLACKSNAKE, I can't help but think that Russ Meyer wanted to move on and do something else than his typical busty women epics because XXX movies were all the rage during the mid 1970s, and Russ Meyer films, though filled with nudity and kinkiness and violence, were never even close to real porn. His films started to look positively quaint next to DEEP THROAT and other hard-core porno blockbusters. Meyer knew he couldn't compete with such films and BLACKSNAKE is sorta the end result of such a quandary in his career. He obviously wanted to branch out into different uncharted territory. But BLACKSNAKE bombed at the B.O. and Meyer quickly returned to making VIXEN type of films that, even if they still weren't pornographic, they were most definitely more over-the-top than any of his previous films.<br /><br />It's no wonder BLACKSNAKE was a B.O. failure. It's just terrible. Trash-o-rama. Jaw-droppingly bad. It's a quasi-campy take on slavery, if you can imagine that. The end result is jarring. One minute, we're in typical Meyer territory: exuberant, playful and silly, and then the next minute, super serious meditation on slavery and violence. Huh? It just doesn't work. The slavery/racism aspect is woefully mishandled and veers this movie in the true exploitation category. But BLACKSNAKE is not as sleazy as ILSA SHE WOLF OF THE SS and those kind of films, so I imagine fans of the latter were disappointed by it, which would explain the almost lack of interest in this movie from either exploitation fans or Russ Meyer fans. Meyer blames the failure of BLACKSNAKE because, and I quote, ""It didn't have enough breasts in it."" Well, I'm sorry Russ, but the film is just bad, breast or no breasts. But he's right though about the low breast quota. Except for Anouska and the maid, the film's cast is male. Meyer replaces his usual bevy of buxom babes with throng of hunks with massive pecs, in the form of anonymous black actors playing the slaves and the big David (Darth Vader) Prowse. And with Anouska's right hand man around, who is portrayed as a ruthless but clever gay man who enjoys the power he has over the men, one can only wonder what Meyer was really trying to create here.<br /><br />BLACKSNAKE stars David Warbeck, who is lusted after by Anouska and her right hand man. Poor David. He looks totally befuddled by the whole experience. He did seem to have fun making the movie but you can clearly see that, at times, he has no idea what's going on. And then there's Anouska Hempel. She's a beautiful woman...for the 1970s, not the 1870s. With her makeup and hair, she looks like a typical 1970s Brit pin-up babe than a turn of the century dominatrix. And her wardrobe is hilarious. At one time, she actually unzips her leather boots! I didn't know they had zippers in those days. But the character she plays is, in itself, really degrading (no pun intended). She's nothing but a cipher to the object of lust and scorn of every men (and that woman) on the island. For example, one night, when David and Anouska are getting it on, her annoying slave driver walks in the room, knocks David unconscious and tries to rape her, groping her savagely. The next day, the slave driver is still working for Anouska and the two act as if nothing had happened. It's totally ludicrous. Under any circumstance, had her character been a real person, Anouska would have whipped the slave driver senseless and kicked his butt off the island. Or even killed him. But the fact that the woman keeps him on her plantation after he tried to rape her is stretching the flimsy story and characters' credulity to the max.<br /><br />Ridiculous details like this, and the thoroughly startling blaxploitation angle makes BLACKSNAKE a strangely unpleasant but watchable movie. Watchable in the train wreck variety. I just couldn't help but watch the film for the utter baseless aspects of it all (the excellent cinematography sorta makes it easier to watch). So, this being an exploitation film, I guess it succeeded in doing what it was supposed to do. But BLACKSNAKE is mainly for Russ Meyer completists.",neutral
"After buying the DVD in a Bargain Bin due to the impressive amount of features listed on the cover, I popped it in the DVD player and everything looked good. Nice animated menus and a whole lot of extra features...but when I played the movie itself, what a let down. It is the worst thing I have ever seen and I have seen some bad movies in my time. The comment that praises the movie here at IMDB is actually from the people who made the film. So Don't Believe It unless you like to waste your cash!",biased
"Like watching a neighbor's summer camp home movies, ""Indian Summer"" is a sleep inducing bore. Eight alumni campers are barely introduced, when unbelievably boring flashbacks begin for characters we know nothing about. Fine actors, Alan Arkin, and Bill Paxton are totally wasted in this film. One camper's observation that ""everything seems so much smaller than I remember it"" is repeated at least ten times, enough to make you squirm. The anticipated pranks are neither funny or original, unless you think that short sheeting is a real ""howler"". This movie was a great disappointment considering the ample talent involved. ""Indian Summer"" did not make me homesick, just sick. - MERK",biased
"I was so disappointed in this movie. I don't know much about the true story, so I was eager to see it play out on film and educate myself about a little slice of history. With such a powerful true story and great actors it seemed like a surefire combination. Well, somewhere the screenplay failed them. It was so scattered - is this movie about his childhood? his love life? his own disability? his speaking ability? his passion for the disabled? I'm sure there is a way to incorporate all of those things into a good story, but this movie wasn't it. I was left cold watching characters that were unlikable not because of their disabilities, but because of their personalities. Other small gripes: 1. The heavy-handed soundtrack. It's the seventies - WE GET IT ALREADY! 2. If he's such a phenomenal public speaker, why weren't we treated to more than a snippet here and there - and even then mostly in montages?",neutral
"This is one of the silliest movies I have ever had the misfortune to watch! I should have expected it, after seeing the first two, but I keep getting suckered into these types of movies with the idea of ""Maybe they did it right this time"". Nope - not even close.<br /><br />Where do I begin? How about with the special effects... To give you an idea of what passes for SFX in this movie, at one point a soldier is shooting at a ""Raptor"" as it runs down a hallway. Even with less than a second of screen time, the viewer can easily see that it is just a man with a tail apparently taped to him running around. Bad bad bad bad.<br /><br />How about the acting? If that's what you can call it. There is one character who, I suppose, is supposed to be from the south. However, after living in the south for six years now, I have never heard this way of talking. Perhaps he has some sort of weird disability - the inability to talk normally. I find it fascinating that the character does nothing that requires him to have that accent - therefore there was no reason for the actor to try to do one.<br /><br />How about the plot? It's pretty basic - Raptors escape, people with guns must hunt them down. I'm starting to wonder why the dinosaurs in these movies always seem to run into the nearest system of tunnels... wouldn't they stay outside to hunt prey? Oh well, at least they have the good sense to appear very very little in the movie which supposedly revolves around them.<br /><br />Other things - Let's say you are in a building and you know that there are man eating raptors running around in it. Would you decide to take time out to have an argument about who is better - Army or Marine? And then decide to have an arm wrestling contest to settle it? How about the idiotic idea that they have to track down the raptors - Split up into groups of two. Didn't they ever watch any horror movies (Or at least an episode of Scooby Doo)? In short, this is one of the dumber movies out there. Miss it unless you want to groan your way through a movie.",neutral
"I can not believe I wasted my money to rent this movie. I thought it was a porn flick when it started and it never got any better. The acting, the music drowning out the actors. Horrible. Save your money! You have to read the movie all the way through b\c they knew the music would drowned out the speaking lines. I never got the part about the slaughterhouse or the need to continue to show cows and pigs being butchered. What did that have to do with the ""real"" BTK killer? I understand why there were no famous actors\actresses in this movie. The script would have turned me away within the first page of reading. You would be better off watching paint dry.",biased
"Having read the books and seen the 1982 Anthony Andrews/Jane<br /><br />Seymour version, I have to say that this is not good at all.<br /><br />According to the books, Percy is supposed to be a seemingly<br /><br />foppish aristocrat when he's being Percy, and witty and clever<br /><br />when he's being the Pimpernel, but here he just looks bored as<br /><br />Percy and mean as the Pimpernel. Marguerite is supposed to be<br /><br />the most beautiful woman in Europe, not a tired and frumpy-looking matron (she looks middle-aged, probably due to<br /><br />bad make-up). Richard E. Grant has done much better things, and<br /><br />Elizabeth McGovern's acting is uninspired and flat. The wit and<br /><br />dash of the books and the Andrews/Seymour film is here replaced<br /><br />by brawn and flashy editing that just don't make the cut. <br /><br /> I might add that to a person who hasn't seen any previous version<br /><br />or read the book, it would probably look ok.",biased
"I walked into the movie theater, with no expectations for the film I was about to witness, ""Everything is Illuminated"". I walked out with a joy I have barely come to feel with American films. The directorial debut of actor, Leiv Schreiber, the film follows a man on his journey through the past, accompanied by an eccentric group including a brake-dancing barely English-speaking punk from the Eukraine, his grandfather who believes he is blind, and their crazy dog. The first half of the film is funny and smart with an extremely European flavor in the usage of small but wonderful characters, while the second half of the film descends into a somber story of discovery and the holocaust. This little movie brings out so many emotions, and so many colors, with such a wonderful conclusion and is more than just a story of illumination, but also of relationships and connections. The acting is incredibly powerful, the story mysterious and interesting, and the artistic appeal of the cinematography, to die for. With some brilliant and absolutely touching scenes ""Everything is Illuminated"" managed to capture my heart.",neutral
